Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
20-compartment-bread-and-butter-plate-rack-6-case,20-Compartment Bread and Butter Plate Rack  (6/Case),"<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: BB20</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 6</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""> 21.5"" X 8"" X 8.5""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">6.47</td>
<td class=""xl84"" style=""text-align: center;"">40.32</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware Accessories,Other Items,true,Title,Default Title,,,,,BB20,18289,,deny,manual,195.15,380.40,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/BB20_4bfa164c-6e2c-4137-ad38-6abd4b0a931e.jpg?v=1571438523,1,20-Compartment Bread and Butter Plate Rack  (6/Case) - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
biseki-10recpltr-hsalt-dinnerware-rectangular-platter-24-case,"BISEKI-10RECPLTR-HSALT, DINNERWARE, Rectangular Platter  (24/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: BISEKI-10RECPLTR-HSALT</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 24</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;"">10"" X 6.375""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">1.6</td>
<td class=""xl84"" style=""text-align: center;"">39.7</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware,HIMALAYAN SALT,true,Title,Default Title,,,,,BISEKI-10RECPLTR-HSALT,18008,,deny,manual,298.44,581.76,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/BISEKI-10RECPLTR-HSALT_a494b986-3485-4064-b6ba-ae759294b53f.jpg?v=1571438523,1,"BISEKI-10RECPLTR-HSALT, DINNERWARE, Rectangular Platter  (24/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
biseki-14recpltr-hsalt-dinnerware-rectangular-platter-15-case,"BISEKI-14RECPLTR-HSALT, DINNERWARE, Rectangular Platter  (15/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: BISEKI-14RECPLTR-HSALT</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 15</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;"">14"" X 7.75""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">2.75</td>
<td class=""xl84"" style=""text-align: center;"">41.9</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware,HIMALAYAN SALT,true,Title,Default Title,,,,,BISEKI-14RECPLTR-HSALT,19006,,deny,manual,309.26,602.85,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/BISEKI-14RECPLTR-HSALT_bc321525-9481-4380-86f0-306893ae080a.jpg?v=1571438523,1,"BISEKI-14RECPLTR-HSALT, DINNERWARE, Rectangular Platter  (15/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
16-compartment-cup-rack-8-case,16-Compartment Cup Rack  (8/Case),"<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: CUP16</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 8</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""> 20.5"" X 18.75"" X 4""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">6</td>
<td class=""xl84"" style=""text-align: center;"">49.5</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware Accessories,Other Items,true,Title,Default Title,,,,,CUP16,22453,,deny,manual,237.58,463.12,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/CUP16_6504b18a-750b-4423-8e5f-21adb20ffe1d.jpg?v=1571438527,1,16-Compartment Cup Rack  (8/Case) - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
bakeware-delano-white-square-bakeware-4-case,"Bakeware, Delano White Square Bakeware  (4/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: DEL-10SQ</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 4</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">4.25</td>
<td class=""xl84"" style=""text-align: center;"">18.5</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Delano,true,Title,Default Title,,,,,DEL-10SQ,8391,,deny,manual,49.68,96.84,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/DEL-10SQ_9f51a28e-c23b-464f-9ca1-a90d6e60549e.jpg?v=1571438527,1,"Bakeware, Delano White Square Bakeware  (4/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
bakeware-delano-white-round-bakeware-with-lid-2-case,"Bakeware, Delano White Round Bakeware With Lid  (2/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: DEL-12RD</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 2</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">6.38</td>
<td class=""xl84"" style=""text-align: center;"">14.26</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Delano,true,Title,Default Title,,,,,DEL-12RD,6468,,deny,manual,44.13,86.02,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/DEL-12RD_401d79f9-4af0-434b-a57c-c4a6b7edb7d2.jpg?v=1571438527,1,"Bakeware, Delano White Round Bakeware With Lid  (2/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
bakeware-delano-white-rectangular-bakeware-12-4-case,"Bakeware, Delano White Rectangular Bakeware 12""  (4/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: DEL-12REC</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 4</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">4.63</td>
<td class=""xl84"" style=""text-align: center;"">20.02</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Delano,true,Title,Default Title,,,,,DEL-12REC,9081,,deny,manual,49.68,96.84,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/DEL-12REC_db66491b-4800-41c7-a0ef-6f7c9665be38.jpg?v=1571438527,1,"Bakeware, Delano White Rectangular Bakeware 12""  (4/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
bakeware-delano-white-oval-bakeware-12-4-case,"Bakeware, Delano White Oval Bakeware 12""  (4/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: DEL-13OVAL</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 4</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">3.88</td>
<td class=""xl84"" style=""text-align: center;"">17.02</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Delano,true,Title,Default Title,,,,,DEL-13OVAL,7720,,deny,manual,49.68,96.84,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/DEL-13OVAL_2d0423c9-cfc5-4a51-b367-3628246fc755.jpg?v=1571438527,1,"Bakeware, Delano White Oval Bakeware 12""  (4/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
bakeware-delano-white-rd-bakeware-with-lid-6-case,"Bakeware, Delano White Rd Bakeware With Lid  (6/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: DEL-8RD</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 6</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">2.5</td>
<td class=""xl84"" style=""text-align: center;"">16.5</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Delano,true,Title,Default Title,,,,,DEL-8RD,7484,,deny,manual,55.59,108.36,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/DEL-8RD_f60295e0-a705-4f2f-bb8b-b1a62869397f.jpg?v=1571438527,1,"Bakeware, Delano White Rd Bakeware With Lid  (6/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
20-compartment-dinner-plate-rack-4-case,20-Compartment Dinner Plate Rack  (4/Case),"<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: DIN20</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 4</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""> 23.5"" X 12.25"" X 12.75""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">10.81</td>
<td class=""xl84"" style=""text-align: center;"">44.74</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware Accessories,Other Items,true,Title,Default Title,,,,,DIN20,20294,,deny,manual,230.48,449.28,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/DIN20_954fee09-7821-4232-8d9e-f6261d588eed.jpg?v=1571438527,1,20-Compartment Dinner Plate Rack  (4/Case) - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
12-compartment-charger-rack-4-case,12-Compartment Charger Rack  (4/Case),"<h3 left="""" text-align:="""">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: GPLTR12</p>
<h3 left="""" text-align:="""">Shipment</h3>
<p>Sold As Case of 4 </p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border="""" cellpadding="""" cellspacing="""" width="""">
<colgroup><col width="""" span=""""></colgroup>
<tbody>
<tr height="""">
<td height="""" class="""" xl81="""" width="""" text-align:="""" center="""">Dimensions</td>
<td height="""" class="""" xl81="""" width="""" text-align:="""" center="""">Capacity</td>
<td class="""" xl82="""" width="""" text-align:="""" center="""">Product Weight</td>
<td class="""" xl81="""" width="""" text-align:="""" center="""">Ship Weight</td>
</tr>
<tr height="""">
<td height="""" class="""" xl83="""" text-align:="""" center="""">17"""" X 14.5"""" X 14.75""""</td>
<td height="""" class="""" xl83="""" text-align:="""" center=""""></td>
<td class="""" xl84="""" text-align:="""" center="""">11.97</td>
<td class="""" xl84="""" text-align:="""" center="""">49.38</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware Accessories,Other Items,true,Title,Default Title,,,,,GPLTR12,22398,,deny,manual,167.65,326.80,true,true,"",https://cdn.shopify.com/s/files/1/0218/1566/products/GPLTR12_83490bbc-ad4c-40db-8483-d86e025bf594.jpg?v=1571438529,1,12-Compartment Charger Rack  (4/Case) - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
bakeware-sienna-red-white-square-baker-4-case,"Bakeware, Sienna Red/White Square Baker  (4/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: SIENA-11SQBKR</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 4</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">4.58</td>
<td class=""xl84"" style=""text-align: center;"">19.82</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Siena,true,Title,Default Title,,,,,SIENA-11SQBKR,8990,,deny,manual,42.07,82.00,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/SIENA-11SQBKR_b2cdbd54-f2c4-4abb-af22-f8f8c6c0feac.jpg?v=1571438541,1,"Bakeware, Sienna Red/White Square Baker  (4/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
bakeware-sienna-red-white-rectangular-bakerware-4-case,"Bakeware, Sienna Red/White Rectangular Bakerware  (4/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: SIENA-12RECBKR</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 4</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">4.08</td>
<td class=""xl84"" style=""text-align: center;"">17.82</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Siena,true,Title,Default Title,,,,,SIENA-12RECBKR,8083,,deny,manual,42.07,82.00,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/SIENA-12RECBKR_c7d0f12b-4ce8-48fa-8c2f-84799ded631f.jpg?v=1571438542,1,"Bakeware, Sienna Red/White Rectangular Bakerware  (4/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
bakeware-sienna-red-white-oval-bakerware-4-case,"Bakeware, Sienna Red/White Oval Bakerware  (4/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: SIENA-13OVLBKR</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 4</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">3.4</td>
<td class=""xl84"" style=""text-align: center;"">15.1</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Siena,true,Title,Default Title,,,,,SIENA-13OVLBKR,6849,,deny,manual,42.07,82.00,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/SIENA-13OVLBKR_ab9b3c14-aa3d-4ccc-ac54-adde5a8b3bca.jpg?v=1571438542,1,"Bakeware, Sienna Red/White Oval Bakerware  (4/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
bakeware-sienna-red-wht-rectangular-bakeware-w-4-case,"Bakeware, Sienna Red/Wht Rectangular Bakeware W/  (4/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: SIENA-9RECCVCSS</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 4</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""></td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">5.6</td>
<td class=""xl84"" style=""text-align: center;"">23.9</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Bakeware,Siena,true,Title,Default Title,,,,,SIENA-9RECCVCSS,10841,,deny,manual,69.85,136.16,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/SIENA-9RECCVCSS_dacb2fce-842a-43f2-8bb2-8d31d18eaaf1.jpg?v=1571438542,1,"Bakeware, Sienna Red/Wht Rectangular Bakeware W/  (4/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
20-compartment-salad-plate-rack-6-case,20-Compartment Salad Plate Rack  (6/Case),"<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: SLD20</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 6</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;""> 22.5"" X 9.5"" X 9.5""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">7.06</td>
<td class=""xl84"" style=""text-align: center;"">43.86</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware Accessories,Other Items,true,Title,Default Title,,,,,SLD20,19895,,deny,manual,219.65,428.16,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/SLD20_cf695279-ec65-49d4-9a73-a0202b7981d9.jpg?v=1571438542,1,20-Compartment Salad Plate Rack  (6/Case) - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
